cpse,legacy_material_code,raw_description,category,ground_truth_material_id,valve_type,material,pressure_class,end_connection,size_mm,bearing_family,bearing_inner_diameter_mm,bearing_outer_diameter_mm,bearing_width_mm,pipe_material,pipe_od_mm,pipe_thickness_mm,pipe_schedule,pipe_end
CPCL,CP-BEA-014-1,BRG NEEDLE ROLLER 25 X 32 X 20,Bearing,BRG-006,,,,,,Needle Roller,25,32,20,,,,,
IOCL,IO-BEA-014-2,BRG NEEDLE ROLLER 25 X 32 X 20,Bearing,BRG-006,,,,,,Needle Roller,25,32,20,,,,,
NTPC,NT-BEA-014-3,NEEDLE ROLLER BEARING 25x32x20 MM,Bearing,BRG-006,,,,,,Needle Roller,25,32,20,,,,,
CPCL,CP-PIP-015-1,"Carbon Steel pipe 60.3mm x 3.91 mm, schedule 40, PLAIN",Pipe,PIP-001,,,,,,,,,,Carbon Steel,60.3,3.91,40,Plain
IOCL,IO-PIP-015-2,PIPE CS OD 60.3 MM THK 3.91 MM SCH 40 PLAIN END,Pipe,PIP-001,,,,,,,,,,Carbon Steel,60.3,3.91,40,Plain
NTPC,NT-PIP-015-3,SCH 40; CS; PIPE 60.3mm/3.91mm; PE,Pipe,PIP-001,,,,,,,,,,Carbon Steel,60.3,3.91,40,Plain
CPCL,CP-PIP-016-1,CS PIPE 60.3 MM OD X 5.54MM SCH-80,Pipe,PIP-002,,,,,,,,,,Carbon Steel,60.3,5.54,80,Plain
IOCL,IO-PIP-016-2,PIPE CS OD 60.3 MM THK 5.54 MM SCH 80 PLAIN END,Pipe,PIP-002,,,,,,,,,,Carbon Steel,60.3,5.54,80,Plain
NTPC,NT-PIP-016-3,"Carbon Steel pipe 60.3mm x 5.54 mm, schedule 80, PLAIN",Pipe,PIP-002,,,,,,,,,,Carbon Steel,60.3,5.54,80,Plain
CPCL,CP-PIP-017-1,PIPE SS 304 OD 60.3 MM THK 3.91 MM SCH 40 BEVELLED END,Pipe,PIP-003,,,,,,,,,,Stainless Steel 304,60.3,3.91,40,Bevelled
IOCL,IO-PIP-017-2,SCH 40; SS 304; PIPE 60.3mm/3.91mm; BE,Pipe,PIP-003,,,,,,,,,,Stainless Steel 304,60.3,3.91,40,Bevelled
NTPC,NT-PIP-017-3,"Stainless Steel 304 pipe 60.3mm x 3.91 mm, schedule 40, BEVELLED",Pipe,PIP-003,,,,,,,,,,Stainless Steel 304,60.3,3.91,40,Bevelled
CPCL,CP-PIP-018-1,SCH 40; CS; PIPE 88.9mm/5.49mm; PE,Pipe,PIP-004,,,,,,,,,,Carbon Steel,88.9,5.49,40,Plain
IOCL,IO-PIP-018-2,"Carbon Steel pipe 88.9mm x 5.49 mm, schedule 40, PLAIN",Pipe,PIP-004,,,,,,,,,,Carbon Steel,88.9,5.49,40,Plain
NTPC,NT-PIP-018-3,SCH 40; CS; PIPE 88.9mm/5.49mm; PE,Pipe,PIP-004,,,,,,,,,,Carbon Steel,88.9,5.49,40,Plain
CPCL,CP-PIP-019-1,SCH 40; CS; PIPE 114.3mm/6.02mm; BE,Pipe,PIP-005,,,,,,,,,,Carbon Steel,114.3,6.02,40,Bevelled
IOCL,IO-PIP-019-2,CS PIPE 114.3 MM OD X 6.02MM SCH-40,Pipe,PIP-005,,,,,,,,,,Carbon Steel,114.3,6.02,40,Bevelled
NTPC,NT-PIP-019-3,"Carbon Steel pipe 114.3mm x 6.02 mm, schedule 40, BEVELLED",Pipe,PIP-005,,,,,,,,,,Carbon Steel,114.3,6.02,40,Bevelled
CPCL,CP-PIP-020-1,PIPE SS316 OD 33.4 MM THK 3.38 MM SCH 40 PLAIN END,Pipe,PIP-006,,,,,,,,,,Stainless Steel 316,33.4,3.38,40,Plain
IOCL,IO-PIP-020-2,PIPE SS316 OD 33.4 MM THK 3.38 MM SCH 40 PLAIN END,Pipe,PIP-006,,,,,,,,,,Stainless Steel 316,33.4,3.38,40,Plain
NTPC,NT-PIP-020-3,"Stainless Steel 316 pipe 33.4mm x 3.38 mm, schedule 40, PLAIN",Pipe,PIP-006,,,,,,,,,,Stainless Steel 316,33.4,3.38,40,Plain
CPCL,CP-PIP-021-1,PIPE CS OD 48.3 MM THK 3.68 MM SCH 40 THREADED END,Pipe,PIP-007,,,,,,,,,,Carbon Steel,48.3,3.68,40,Threaded
IOCL,IO-PIP-021-2,SCH 40; CS; PIPE 48.3mm/3.68mm; THD,Pipe,PIP-007,,,,,,,,,,Carbon Steel,48.3,3.68,40,Threaded
NTPC,NT-PIP-021-3,SCH 40; CS; PIPE 48.3mm/3.68mm; THD,Pipe,PIP-007,,,,,,,,,,Carbon Steel,48.3,3.68,40,Threaded
CPCL,CP-VAL-DUP-01,CS GATE VALVE 50 MM 150# FLG,Valve,VAL-001,Gate,Carbon Steel,150,Flanged,50,,,,,,,,,
IOCL,IO-VAL-DUP-02,GLOBE VLV SS CL150 FLG 50MM,Valve,VAL-004,Globe,Stainless Steel,150,Flanged,50,,,,,,,,,
IOCL,IO-BEA-DUP-03,DEEP GROOVE BALL BEARING 20x47x14 MM,Bearing,BRG-001,,,,,,Deep Groove Ball,20,47,14,,,,,
NTPC,NT-BEA-DUP-04,BRG DEEP GROOVE BALL 20 X 47 X 12,Bearing,BRG-004,,,,,,Deep Groove Ball,20,47,12,,,,,
NTPC,NT-PIP-DUP-05,PIPE CS OD 60.3 MM THK 3.91 MM SCH 40 PLAIN END,Pipe,PIP-001,,,,,,,,,,Carbon Steel,60.3,3.91,40,Plain
CPCL,CP-PIP-DUP-06,SS 304 PIPE 60.3 MM OD X 3.91MM SCH-40,Pipe,PIP-003,,,,,,,,,,Stainless Steel 304,60.3,3.91,40,Bevelled
